,name,synonyms
0,acceptance,"['confirmation', 'toleration', 'integration', 'affirmation', 'undertaking', 'welcome', 'ratification', 'taking', 'embracing', 'receiving', 'receive', 'welcoming', 'traction', 'acquiring', 'embrace', 'sufferance', 'swallowing', 'endurance', 'assumption', 'tackling', 'approval', 'adoption', 'forbearance', 'obtaining']"
1,admiration,"['respect', 'joy', 'pride', 'sensation', 'adulation', 'esteem', 'veneration', 'laudation', 'tributes', 'regard', 'commendation', 'appreciation', 'applause', 'wonder', 'praise', 'marvel', 'delight', 'acclaim', 'accolades', 'approval', 'plaudits', 'approbation', 'compliments']"
2,affection,"['endearment', 'affinity', 'feeling', 'respect', 'friendship', 'admiration', 'liking', 'fondness', 'attentiveness', 'familiarity', 'friendliness', 'closeness', 'attachment', 'sentiment', 'warmness', 'amity', 'devotion', 'regard', 'care', 'warmth', 'intimacy', 'favour', 'tenderness', 'love', 'caring']"
3,aggravation,"['pest', 'trial', 'worsen', 'infuriation', 'bother', 'difficulty', 'magnify', 'hassle', 'exacerbate', 'snag', 'exacerbation', 'trouble', 'intensification', 'increase', 'headache', 'pain', 'grievance', 'aggro', 'inflame', 'magnification', 'augment', 'heightening', 'annoyance', 'exasperation', 'nuisance', 'heighten', 'amplify', 'compound', 'intensify', 'irritant', 'inconvenience', 'problem', 'irritation', 'worsening', 'amplification', 'compounding', 'vexation', 'augmentation']"
4,anger,"['exasperate', 'empurple', 'bile', 'bug', 'choler', 'nark', 'displease', 'incense', 'ruffle', 'indignation', 'dyspepsia', 'mad', 'aggravation', 'irritability', 'annoy', 'peeve', 'displeasure', 'enrage', 'inflame', 'outrage', 'irk', 'annoyance', 'spleen', 'exasperation', 'wrath', 'pique', 'ire', 'pissed', 'vex', 'madden', 'aggravate', 'antagonize', 'irritation', 'provoke', 'resentment', 'rage', 'rile', 'vexation', 'gall', 'irritate', 'infuriate', 'needle', 'miff', 'nettle', 'fury', 'gravel']"
5,anguish,"['misery', 'heartache', 'desolation', 'unhappiness', 'torture', 'grief', 'despair', 'purgatory', 'woe', 'heartbreak', 'dolour', 'angst', 'sorrow', 'suffering', 'agony', 'distress', 'torment', 'pain']"
6,anxiety,"['agitation', 'disquiet', 'longing', 'worriment', 'jitteriness', 'angst', 'fretfulness', 'perturbation', 'fearfulness', 'desire', 'nervousness', 'twitchiness', 'keenness', 'apprehensiveness', 'tenseness', 'apprehension', 'concern', 'suspense', 'impatience', 'trepidation', 'foreboding', 'uneasiness', 'collywobbles', 'disquietude', 'worry', 'fear', 'nerves', 'jim-jams', 'eagerness', 'unease', 'tension', 'misgiving', 'stress', 'edginess', 'consternation']"
7,attraction,"['allure', 'entertainment', 'beauty', 'fascination', 'enticement', 'seduction', 'magic', 'charm', 'magnetism', 'crowd-pleaser', 'inducement', 'come-on', 'attractiveness', 'allurement', 'temptation', 'appeal', 'pull', 'interest', 'activity', 'lure', 'seductiveness', 'feature', 'enchantment', 'spell', 'desirability', 'glamour', 'diversion', 'charisma', 'draw']"
8,boredom,"['dissatisfaction', 'monotony', 'deadliness', 'languor', 'restlessness', 'sameness', 'uniformity', 'routine', 'sluggishness', 'dullness', 'uninterestedness', 'humdrum', 'blandness', 'tediousness', 'world-weariness', 'dreariness', 'sameyness', 'weariness', 'ennui', 'accidie', 'flatness', 'frustration', 'malaise', 'unconcern', 'tedium', 'repetitiveness', 'apathy', 'restiveness']"
9,caution,"['heedfulness', 'caginess', 'carefulness', 'attention', 'admonishment', 'watchfulness', 'forethought', 'attentiveness', 'talking-to', 'wariness', 'vigilance', 'guidance', 'rebuke', 'injunction', 'scolding', 'exhortation', 'prudence', 'reproof', 'warning', 'ticking off', 'telling-off', 'care', 'awareness', 'admonition', 'circumspection', 'chariness', 'mindfulness', 'monition', 'guardedness', 'reprimand', 'heed', 'discretion', 'caveat', 'alertness', 'counsel', 'dressing-down']"
10,certainty,"['certitude', 'factualness', 'conviction', 'assurance', 'confidence', 'sureness', 'assuredness', 'necessity', 'conclusiveness', 'authoritativeness', 'validity', 'fact', 'reliability', 'truth', 'positiveness', 'cert', 'inevitability']"
11,compassion,"['feeling', 'soft-heartedness', 'mercy', 'humaneness', 'benevolence', 'consideration', 'warm-heartedness', 'sympathy', 'gentleness', 'charity', 'tolerance', 'mercifulness', 'humanity', 'care', 'concern', 'pity', 'warmth', 'kindness', 'kind-heartedness', 'tenderness', 'sensitivity', 'lenience', 'understanding', 'love', 'solicitousness', 'tender-heartedness', 'empathy', 'solicitude', 'leniency']"
12,confidence,"['self-confidence', 'cool-headedness', 'level-headedness', 'belief', 'faith', 'reliance', 'boldness', 'conviction', 'courage', 'self-possession', 'poise', 'positiveness', 'aplomb', 'mettle', 'assertiveness', 'phlegm', 'trust', 'firmness', 'fortitude', 'self-assurance', 'nerve', 'self-reliance', 'dependence', 'credence']"
